panel,condition,sample,cells_before,cells_after,perc_tot_removed,perc_IT_removed,perc_MAD_removed
surface,unstim,BAS_SUR_AA23004_2023-04-04_Unstim.fcs,95586,95586,0,0,0
surface,unstim,BAS_SUR_AA23005_2023-07-04_Unstim.fcs,163430,161930,0.917824145,0,0.917824145
surface,unstim,BAS_SUR_AA23008_2023-05-23_Unstim1.fcs,190269,186269,2.102286762,0,2.102286762
surface,unstim,BAS_SUR_AA23009_2023-06-05_Unstim1.fcs,192824,189000,1.983155624,0,1.983155624
surface,unstim,BAS_SUR_AA23010_2023-07-03_Unstim.fcs,201673,201673,0,0,0
surface,unstim,BAS_SUR_AA23013_2023-10-04_Unstim.fcs,191136,188636,1.307969195,0,1.307969195
surface,unstim,BAS_SUR_AA23015_2023-11-06_Unstim.fcs,196068,194568,0.7650407,0,0.7650407
surface,unstim,W12_SUR_AA22008_2022-06-23_Unstim.fcs,189218,187218,1.056981894,0,1.056981894
surface,unstim,W12_SUR_AA22011_2022-07-21_Unstim.fcs,193943,184943,4.640538715,0,4.640538715
surface,unstim,W12_SUR_AA22019_2023-02-10_Unstim.fcs,191486,185486,3.133388342,0,3.133388342
surface,unstim,W12_SUR_AA23001_2023-07-14_Unstim.fcs,186871,182871,2.140514044,0,2.140514044
surface,unstim,W12_SUR_AA23002_2023-06-15_Unstim.fcs,200667,195167,2.740859234,0,2.740859234
surface,unstim,W12_SUR_AA23003_2023-07-20_Unstim1.fcs,162108,160000,1.300367656,0,1.300367656
surface,unstim,W12_SUR_AA23004_2023-08-15_Unstim.fcs,138650,138650,0,0,0
surface,unstim,W12_SUR_AA23005_2023-10-30_Unstim1.fcs,195015,190000,2.571597057,0,2.571597057
surface,unstim,W12_SUR_AA23008_2023-10-06_Unstim.fcs,194513,188500,3.091310092,0,3.091310092
surface,unstim,W12_SUR_AA23009_2023-10-11_Unstim.fcs,197222,190500,3.408341869,0,3.408341869
surface,unstim,W12_SUR_AA23010_2023-11-09_Unstim.fcs,213751,203751,4.678340686,0,4.678340686
surface,unstim,W12_SUR_AA23013_2024-02-16_Unstim.fcs,193471,187971,2.842803314,0,2.842803314
surface,unstim,W12_SUR_AA23015_2024-02-16_Unstim.fcs,198301,191301,3.529987242,0,3.529987242
surface,unstim,W2_SUR_AA22008_2022-04-04_Unstim.fcs,193915,190415,1.804914524,0,1.804914524
surface,unstim,W2_SUR_AA22011_2022-05-10_Unstim.fcs,205838,201838,1.94327578,0,1.94327578
surface,unstim,W2_SUR_AA22019_2022-12-09_Unstim.fcs,192038,186000,3.144169383,0.01978775,3.144169383
surface,unstim,W2_SUR_AA22020_2022-12-19_Unstim.fcs,203090,201500,0.782904131,0,0.782904131
surface,unstim,W2_SUR_AA23001_2023-05-05_Unstim.fcs,193395,191395,1.0341529,0,1.0341529
surface,unstim,W2_SUR_AA23002_2023-04-05_Unstim.fcs,192168,186668,2.862079014,0,2.862079014
surface,unstim,W2_SUR_AA23003_2023-05-16_Unstim.fcs,213623,209000,2.164092818,0,2.164092818
surface,unstim,W2_SUR_AA23004_2023-05-19_Unstim.fcs,139353,139353,0,0,0
surface,unstim,W2_SUR_AA23005_2023-08-23_Unstim.fcs,199242,195742,1.756657733,0,1.756657733
surface,unstim,W2_SUR_AA23008_2023-07-24_Unstim.fcs,207421,203921,1.687389416,0,1.687389416
surface,unstim,W2_SUR_AA23009_2023-08-01_Unstim.fcs,197940,193440,2.273416187,0,2.273416187
surface,unstim,W2_SUR_AA23010_2023-08-28_Unstim.fcs,209626,203626,2.862240371,0,2.862240371
surface,unstim,W2_SUR_AA23013_2023-12-08_Unstim.fcs,195999,187499,4.33675682,0,4.33675682
surface,unstim,W2_SUR_AA23015_2023-12-01_Unstim.fcs,197249,187749,4.816247484,0,4.816247484
surface,unstim,W24_SUR_AA22011_2022-10-20_Unstim.fcs,207183,203183,1.930660334,0,1.930660334
surface,unstim,W24_SUR_AA22019_2023-05-03_Unstim1.fcs,191472,191472,0,0,0
surface,unstim,W24_SUR_AA22020_2023-06-01_Unstim1.fcs,189301,187000,1.215524482,0,1.215524482
surface,unstim,W24_SUR_AA23001_2023-10-17_Unstim.fcs,199498,193998,2.756919869,0,2.756919869
surface,unstim,W24_SUR_AA23002_2023-09-07_Unstim.fcs,191687,188687,1.56505136,0,1.56505136
surface,unstim,W24_SUR_AA23003_2023-10-16_Unstim.fcs,96868,96368,0.516166329,0,0.516166329
surface,unstim,W24_SUR_AA23004_2023-11-06_Unstim.fcs,104251,103751,0.479611706,0,0.479611706
surface,unstim,W24_SUR_AA23005_2024-01-19_Unstim.fcs,164161,164000,0.098074451,0,0.098074451
surface,unstim,W24_SUR_AA23008_2024-01-02_Unstim1.fcs,196527,196500,0.01373857,0,0.01373857
surface,unstim,W24_SUR_AA23009_2024-01-03_Unstim.fcs,192320,188820,1.819883527,0,1.819883527
surface,unstim,W24_SUR_AA23010_2024-02-05_Unstim.fcs,189686,187686,1.054374071,0,1.054374071
surface,unstim,W24_SUR_AA23013_2024-05-09_Unstim1.fcs,188741,182241,3.44387282,0,3.44387282
