filename,panel,condition,cell_count
W6_ICS_AA23013_2024-01-05_Peanut.fcs,intracell,peanut,51109
W6_ICS_AA23015_2024-01-03_Peanut.fcs,intracell,peanut,49032
BAS_ICS_AA22008_2022-03-14_Unstim.fcs,intracell,unstim,47596
BAS_ICS_AA22011_2022-04-01_Unstim.fcs,intracell,unstim,77127
BAS_ICS_AA22019_2022-10-18_Unstim.fcs,intracell,unstim,55762
BAS_ICS_AA22020_2022-10-25_Unstim.fcs,intracell,unstim,34727
BAS_ICS_AA23001_2023-02-07_Unstim.fcs,intracell,unstim,56710
BAS_ICS_AA23002_2023-02-17_Unstim.fcs,intracell,unstim,46194
BAS_ICS_AA23003_2023-03-27_Unstim.fcs,intracell,unstim,42240
BAS_ICS_AA23004_2023-04-04_Unstim.fcs,intracell,unstim,54739
BAS_ICS_AA23005_2023-07-04_Unstim.fcs,intracell,unstim,51503
BAS_ICS_AA23008_2023-05-23_Unstim.fcs,intracell,unstim,41000
BAS_ICS_AA23009_2023-06-05_Unstim.fcs,intracell,unstim,41037
BAS_ICS_AA23010_2023-07-03_Unstim.fcs,intracell,unstim,45551
BAS_ICS_AA23015_2023-11-06_Unstim.fcs,intracell,unstim,49791
W12_ICS_AA22008_2022-06-23_Unstim.fcs,intracell,unstim,38994
W12_ICS_AA22011_2022-07-21_Unstim.fcs,intracell,unstim,44122
W12_ICS_AA22019_2023-02-10_Unstim.fcs,intracell,unstim,39234
W12_ICS_AA23001_2023-07-14_Unstim.fcs,intracell,unstim,38378
W12_ICS_AA23002_2023-06-15_Unstim.fcs,intracell,unstim,43546
W12_ICS_AA23003_2023-07-20_Unstim.fcs,intracell,unstim,38720
W12_ICS_AA23004_2023-08-15_Unstim.fcs,intracell,unstim,55499
W12_ICS_AA23005_2023-10-30_Unstim.fcs,intracell,unstim,45499
W12_ICS_AA23008_2023-10-06_Unstim.fcs,intracell,unstim,42275
W12_ICS_AA23009_2023-10-11_Unstim.fcs,intracell,unstim,45881
W12_ICS_AA23010_2023-11-09_Unstim.fcs,intracell,unstim,37587
W12_ICS_AA23013_2024-02-16_Unstim.fcs,intracell,unstim,48170
W12_ICS_AA23015_2024-02-16_Unstim.fcs,intracell,unstim,37460
W2_ICS_AA22008_2022-04-04_Unstim.fcs,intracell,unstim,41358
W2_ICS_AA22011_2022-05-10_Unstim.fcs,intracell,unstim,45503
W2_ICS_AA22019_2022-12-09_Unstim.fcs,intracell,unstim,42824
W2_ICS_AA22020_2022-12-19_Unstim.fcs,intracell,unstim,40870
W2_ICS_AA23001_2023-05-05_Unstim.fcs,intracell,unstim,39237
W2_ICS_AA23002_2023-04-05_Unstim.fcs,intracell,unstim,19145
W2_ICS_AA23003_2023-05-16_Unstim.fcs,intracell,unstim,49699
W2_ICS_AA23004_2023-05-19_Unstim.fcs,intracell,unstim,54586
W2_ICS_AA23005_2023-08-23_Unstim.fcs,intracell,unstim,52689
W2_ICS_AA23008_2023-07-24_Unstim.fcs,intracell,unstim,38187
W2_ICS_AA23009_2023-08-01_Unstim.fcs,intracell,unstim,50811
W2_ICS_AA23010_2023-08-28_Unstim.fcs,intracell,unstim,41726
W2_ICS_AA23013_2023-12-08_Unstim.fcs,intracell,unstim,47695
W2_ICS_AA23015_2023-12-01_Unstim.fcs,intracell,unstim,43667
W24_ICS_AA22008_2022-09-12_Unstim.fcs,intracell,unstim,43313
W24_ICS_AA22011_2022-10-20_Unstim.fcs,intracell,unstim,55742
W24_ICS_AA22019_2023-05-03_Unstim.fcs,intracell,unstim,53689
W24_ICS_AA22020_2023-06-01_Unstim.fcs,intracell,unstim,30094
W24_ICS_AA23001_2023-10-17_Unstim.fcs,intracell,unstim,53560
W24_ICS_AA23002_2023-09-07_Unstim.fcs,intracell,unstim,41307
W24_ICS_AA23003_2023-10-16_Unstim.fcs,intracell,unstim,48404
W24_ICS_AA23004_2023-11-06_Unstim.fcs,intracell,unstim,53984
W24_ICS_AA23005_2024-01-19_Unstim.fcs,intracell,unstim,46657
W24_ICS_AA23008_2024-01-02_Unstim.fcs,intracell,unstim,46634
W24_ICS_AA23009_2024-01-03_Unstim.fcs,intracell,unstim,38184
W24_ICS_AA23010_2024-02-05_Unstim.fcs,intracell,unstim,42440
W24_ICS_AA23013_2024-05-09_Unstim.fcs,intracell,unstim,44116
W24_ICS_AA3015_2024-05-10_Unstim.fcs,intracell,unstim,38653
W36_ICS_AA22011_2023-01-09_Unstim.fcs,intracell,unstim,44188
W36_ICS_AA22019_2023-07-27_Unstim.fcs,intracell,unstim,55066
W36_ICS_AA22020_2023-09-07_Unstim.fcs,intracell,unstim,33028
W36_ICS_AA23001_2024-01-10_Unstim.fcs,intracell,unstim,48042
W36_ICS_AA23003_2024-01-08_Unstim.fcs,intracell,unstim,50618
W36_ICS_AA23004_2024-02-02_Unstim.fcs,intracell,unstim,53800
W36_ICS_AA23005_2024-04-12_Unstim.fcs,intracell,unstim,42097
W36_ICS_AA23008_2024-04-16_Unstim.fcs,intracell,unstim,46618
W36_ICS_AA23009_2024-03-25_Unstim.fcs,intracell,unstim,46732
W36_ICS_AA23010_2024-05-03_Unstim.fcs,intracell,unstim,41666
W36_ICS_AA23013_2024-07-31_Unstim.fcs,intracell,unstim,50063
W36_ICS_AA23015_2024-07-30_Unstim.fcs,intracell,unstim,47532
W48_ICS_AA22008_2023-02-27_Unstim.fcs,intracell,unstim,36748
W48_ICS_AA22011_2023-04-14_Unstim.fcs,intracell,unstim,45385
W48_ICS_AA22019_2023-10-16_Unstim.fcs,intracell,unstim,44326
W48_ICS_AA22020_2023-12-07_Unstim.fcs,intracell,unstim,32727
W48_ICS_AA23001_2024-04-11_Unstim.fcs,intracell,unstim,36425
W48_ICS_AA23002_2024-02-29_Unstim.fcs,intracell,unstim,23805
W48_ICS_AA23003_2024-04-15_Unstim.fcs,intracell,unstim,26316
W48_ICS_AA23004_2024-04-22_Unstim.fcs,intracell,unstim,47510
W48_ICS_AA23005_2024-07-09_Unstim.fcs,intracell,unstim,47066
W48_ICS_AA23008_2024-08-23_Unstim.fcs,intracell,unstim,46783
W48_ICS_AA23009_2024-06-21_Unstim.fcs,intracell,unstim,41414
W48_ICS_AA23010_2024-07-31_Unstim.fcs,intracell,unstim,50814
W48_ICS_AA23013_2024-11-04_Unstim.fcs,intracell,unstim,43432
W48_ICS_AA23015_2024-10-23_Unstim.fcs,intracell,unstim,39822
W6_ICS_AA22008_2022-05-02_Unstim.fcs,intracell,unstim,49704
W6_ICS_AA22020_2023-01-24_Unstim.fcs,intracell,unstim,38433
W6_ICS_AA23001_2023-06-01_Unstim.fcs,intracell,unstim,54130
W6_ICS_AA23002_2023-05-03_Unstim.fcs,intracell,unstim,45078
W6_ICS_AA23003_2023-06-12_Unstim.fcs,intracell,unstim,48266
W6_ICS_AA23004_2023-06-26_Unstim.fcs,intracell,unstim,52372
W6_ICS_AA23008_2023-08-23_Unstim.fcs,intracell,unstim,54064
W6_ICS_AA23009_2023-08-30_Unstim.fcs,intracell,unstim,51157
W6_ICS_AA23010_2023-09-26_Unstim.fcs,intracell,unstim,45538
W6_ICS_AA23013_2024-01-05_Unstim.fcs,intracell,unstim,52809
W6_ICS_AA23015_2024-01-03_Unstim.fcs,intracell,unstim,47926
BAS_SUR_AA22008_2022-03-14_Peanut1.fcs,surface,peanut,82314
BAS_SUR_AA22011_2022-04-01_Peanut.fcs,surface,peanut,211234
BAS_SUR_AA22019_2022-10-18_Peanut.fcs,surface,peanut,221847
BAS_SUR_AA22020_2022-10-25_Peanut.fcs,surface,peanut,190873
BAS_SUR_AA23001_2023-02-07_Peanut1.fcs,surface,peanut,192617
BAS_SUR_AA23002_2023-02-17_Peanut1.fcs,surface,peanut,189888
BAS_SUR_AA23003_2023-03-27_Peanut1.fcs,surface,peanut,106658
BAS_SUR_AA23004_2023-04-04_Peanut.fcs,surface,peanut,104166
BAS_SUR_AA23005_2023-07-04_Peanut.fcs,surface,peanut,189472
BAS_SUR_AA23008_2023-05-23_Peanut1.fcs,surface,peanut,194789
BAS_SUR_AA23009_2023-06-05_Peanut1.fcs,surface,peanut,189917
BAS_SUR_AA23010_2023-07-03_Peanut1.fcs,surface,peanut,200680
BAS_SUR_AA23013_2023-10-04_Peanut.fcs,surface,peanut,194191
BAS_SUR_AA23015_2023-11-06_Peanut.fcs,surface,peanut,195683
W12_SUR_AA22008_2022-06-23_Peanut.fcs,surface,peanut,190933
W12_SUR_AA22011_2022-07-21_Peanut1.fcs,surface,peanut,191449
W12_SUR_AA22019_2023-02-10_Peanut.fcs,surface,peanut,198400
W12_SUR_AA23001_2023-07-14_Peanut.fcs,surface,peanut,187371
W12_SUR_AA23002_2023-06-15_Peanut.fcs,surface,peanut,195651
