"","medians BAS","medians W2","p values","-log10 p values","adjusted p values","fold changes","log10 fold changes"
"C18 CD154 <CD154>",1.6059005856514,1.17595034837723,0.290348744466384,0.537080047614126,0.382037821666295,-1.36561937999124,-0.135329671378158
"C19 CD154 <CD154>",1.4430228471756,1.17576682567596,0.571093904872995,0.243292474915162,0.576862530174743,-1.22730359086801,-0.0889520048868887
"C20 CD154 <CD154>",1.44148927927017,0.76245054602623,0.290348744466384,0.537080047614126,0.382037821666295,-1.89060036324058,-0.276599736998544
"C21 CD154 <CD154>",0.789124757051468,0.192923054099083,0.0823719395732658,1.0842207077683,0.338671580306846,-4.09036006990737,-0.611761540156693
"C22 CD154 <CD154>",0.920883774757385,0.644889354705811,0.130913384518815,0.883015949129121,0.338671580306846,-1.42797174125704,-0.154719613086118
"C23 CD154 <CD154>",1.01136237382889,0.23241126537323,0.0642595867234119,1.19206207188003,0.338671580306846,-4.35160650325937,-0.638649617115344
"C24 CD154 <CD154>",1.07163232564926,0.996425122022629,0.174001236239583,0.759447666141987,0.338671580306846,-1.07547702478032,-0.0316011370687095
"C25 CD154 <CD154>",1.4441385269165,1.13303452730179,0.162346947046639,0.789555873919808,0.338671580306846,-1.27457592166726,-0.105365709855587
"C26 CD154 <CD154>",1.64302188158035,1.42057371139526,0.571093904872995,0.243292474915162,0.576862530174743,-1.1565903750018,-0.0631795738390977
"C27 CD154 <CD154>",1.82302540540695,1.62078756093979,0.450096046379406,0.346694801865229,0.489234833021093,-1.1247775151667,-0.051066626010891
"C28 CD154 <CD154>",1.72562646865845,1.46380144357681,0.326182923185952,0.486538779531925,0.418183234853785,-1.17886648918849,-0.0714646224895098
"C29 CD154 <CD154>",1.31131219863892,1.06897878646851,0.385097061607915,0.414429795145996,0.453055366597547,-1.22669618446872,-0.0887370144410657
"C30 CD154 <CD154>",1.66155087947845,1.6879660487175,0.850238811976091,0.0704590741015213,0.850238811976091,1.01589789970641,0.00685006245355646
"C31 CD154 <CD154>",0.990664064884186,0.488652169704437,0.0642595867234119,1.19206207188003,0.338671580306846,-2.02733994915727,-0.306926578325121
"C32 CD154 <CD154>",1.05056059360504,0.713886797428131,0.385097061607915,0.414429795145996,0.453055366597547,-1.47160669925515,-0.167791756220058
"C33 CD154 <CD154>",1.15335536003113,0.807981252670288,0.199165276816437,0.700786375759193,0.343388408304202,-1.4274531200067,-0.154561854181129
"C34 CD154 <CD154>",1.18204009532928,0.811273753643036,0.186269369168765,0.729858556240111,0.338671580306846,-1.45701754804875,-0.163464782363572
"C35 CD154 <CD154>",1.2241108417511,1.05671936273575,0.2572636553313,0.589621563979958,0.378328904898971,-1.15840674915049,-0.0638610791623585
"C36 CD154 <CD154>",1.46042335033417,1.38526546955109,0.520894820716856,0.283249960757497,0.542598771580058,-1.0542552185376,-0.0229457594393058
